Occupation,ACEScore,Kmax,ThinkingCreatively
Accountants,0,71,29
Actors,100,75,84
Actuaries,18.8,0,0
Acupuncturists,0,66,47
Acute Care Nurses,0,0,0
Adapted Physical Education Specialists,0,0,0
Adhesive Bonding Machine Operators and Tenders,0,25,22
Administrative Law Judges Adjudicators and Hearing Officers,0,73,38
Administrative Services Managers,0,70,35
Adult Basic and Secondary Education and Literacy Teachers and Instructors,0,79,48
Advanced Practice Psychiatric Nurses,0,0,0
Advertising and Promotions Managers,81.3,66,65
Advertising Sales Agents,25,79,59
Aerospace Engineering and Operations Technicians,0,89,52
Aerospace Engineers,0,80,54
Agents and Business Managers of Artists Performers and Athletes,75,68,59
Agricultural Engineers,18.8,0,0
Agricultural Equipment Operators,0,71,12
Agricultural Inspectors,0,45,21
Agricultural Sciences Teachers Postsecondary,0,75,76
Agricultural Technicians,0,56,45
Air Traffic Controllers,0,62,57
Aircraft Cargo Handling Supervisors,0,72,28
Aircraft Mechanics and Service Technicians,0,92,43
Aircraft Structure Surfaces Rigging and Systems Assemblers,0,49,22
Airfield Operations Specialists,0,61,35
Airline Pilots Copilots and Flight Engineers,0,84,27
Allergists and Immunologists,0,91,47
Ambulance Drivers and Attendants Except Emergency Medical Technicians,0,55,34
Amusement and Recreation Attendants,0,56,0
Anesthesiologist Assistants,0,49,40
Anesthesiologists,0,90,42
Animal Breeders,0,42,25
Animal Control Workers,0,47,37
Animal Scientists,18.8,0,0
Animal Trainers,0,49,54
Anthropologists,0,0,0
Anthropology and Archeology Teachers Postsecondary,25,84,64
Appraisers Real Estate,0,0,0
Aquacultural Managers,0,0,0
Arbitrators Mediators and Conciliators,0,0,0
Archeologists,0,0,0
Architects Except Landscape and Naval,100,0,0
Architectural and Engineering Managers,18.8,85,60
Architectural Drafters,0,84,44
Architecture Teachers Postsecondary,31.3,82,80
Archivists,68.8,0,0
Area Ethnic and Cultural Studies Teachers Postsecondary,18.8,77,66
Art Directors,100,66,81
Art Therapists,0,0,0
Art Drama and Music Teachers Postsecondary,37.5,97,74
Assessors,0,58,27
Astronomers,12.5,0,0
Athletes and Sports Competitors,0,26,26
Athletic Trainers,0,65,44
Atmospheric and Space Scientists,0,0,0
Atmospheric Earth Marine and Space Sciences Teachers Postsecondary,0,82,88
Audio and Video Equipment Technicians,75,53,43
Audiologists,0,0,0
Audio-Visual and Multimedia Collections Specialists,75,67,45
Auditors,0,0,0
Automotive and Watercraft Service Attendants,0,44,14
Automotive Body and Related Repairers,0,43,21
Automotive Engineers,0,0,0
Automotive Glass Installers and Repairers,0,48,33
Automotive Master Mechanics,0,78,29
Automotive Specialty Technicians,0,75,19
Aviation Inspectors,0,79,38
Avionics Technicians,0,51,24
Baggage Porters and Bellhops,0,52,13
Bailiffs,0,48,17
Bakers,31.3,47,26
Barbers,0,55,40
Bartenders,0,68,23
